"","ACLA","ARGI","BAEL","CALO","CAPN","CERL","CHIL","CHIM","CHLR","EMPL","HELI","HETA","HYDE","LEPT","LETR","MARU","MCYL","MEGL","MITE","OCHR","OLIG","PETL","PLAN","POLL","RHYL","SIML","TABL","TIPL"
"2011-09-04 Hess 3",0.174381904260915,0.13953488372093,0.189158878504673,0,0,0,0.0839912649084495,0.313483146067416,0,0.148148148148148,0.0123018689377809,0,0.156829679595278,0.0596491228070175,0.347368421052632,0.137469157560804,0.251968503937008,0.13953488372093,0.0794701986754967,0.673076923076923,0.00786593707250342,0.229757085020243,0.174193548387097,0,0.326923076923077,0.016733987305251,0.104072398190045,0
"2011-09-04 Hess 4",0.0368227248816412,0.27906976744186,0.300934579439252,0,0,0.545454545454545,0.241222912817067,0.614606741573034,0,1,0.356281050390348,1,0.0792580101180438,1,0.347368421052632,0.114910116320056,0.535433070866142,0.534883720930233,0.0794701986754967,0.673076923076923,0.159028727770178,0.59412955465587,0.501075268817204,1,0.230769230769231,0.00346220427005193,0.552036199095023,0
"2011-09-04 Hess 5",0.0533929510783798,0,0.103177570093458,0,0,0,0.0419956324542248,0.770786516853933,0,0.0740740740740741,0.0137213153536787,0,0.107925801011804,0.0807017543859649,0.0198830409356725,0.258371519210434,0.0618110236220472,0.13953488372093,0.152317880794702,0.230769230769231,0.0239398084815321,0.00607287449392713,0.0623655913978495,0,0,0.0132717830351991,0.131221719457014,0
"2011-09-04 Hess 6",0.140715412940558,0.13953488372093,0.154392523364486,0,0,0.545454545454545,0.0419956324542248,0.234831460674157,0,0.209876543209877,0.0234208658623137,0,0.0876897133220911,0.0421052631578947,0.0678362573099415,0.12301727176595,0.148818897637795,0.27906976744186,0.152317880794702,0.557692307692308,0.0198358413132695,0.0880566801619433,0.0752688172043011,0,0.557692307692308,0.050201961915753,0.131221719457014,0
"B01151",0.0791688584955287,0.744186046511628,0.265607476635514,0,0,0,0.0524105493028725,0,0,0,0,0,0,0,0.0257309941520468,0,0.224803149606299,0,0.0728476821192053,0,0,0.0111336032388664,0,0,0,0.0432775533756492,0.0995475113122172,0
"B01152",0.345344555497107,0.255813953488372,0.32803738317757,0,0,0,0.0524105493028725,0,0,0,0,0,0,0,0.150877192982456,0,0.0677165354330709,0,0.211920529801325,0,0.0184678522571819,0.0546558704453441,0,0,0,0.192729371032891,0,0
"B01226",0,0.255813953488372,0.128785046728972,0,0,0,0.00184780782798589,0,0,0,0,0,0,0,0.138011695906433,0,0,0,0,0.423076923076923,0,0,0,0,0,0,0,0
"B01227",0.158600736454498,0,0.446728971962617,0,0,0,0,0,0,0,0,0,0.0539629005059022,0,0.0631578947368421,0,0.0338582677165354,0.255813953488372,0,0,0,0,0,0.478260869565217,0,0.0126947489901904,0,0
"B01228",0.0142030510257759,0,0.0401869158878505,0,0,0,0.00184780782798589,0,0,0,0,0,0.0185497470489039,0,0.0502923976608187,0,0,0,0,0,0,0,0,0,0,0,0,0
"B01229",0.0539189900052604,0,0.185046728971963,0,0,0,0,0,0,0,0,0,0.0725126475548061,0,0.16374269005848,0,0.0338582677165354,1,1,0,0.279753761969904,0.0657894736842105,0,0,0,0,0,0
"B01263",0.0170962651236191,0.255813953488372,0.014018691588785,0,0,0,0.0144464975642533,0,0,0,0,0,0,0,0,0,0.021259842519685,0,0,0.211538461538462,0,0,0,0,0,0,0,0
"B01264",0.00578642819568648,0.255813953488372,0.0401869158878505,0,0,0,0.0903746010414917,0,0,0,0,0,0,0,0,0.00387733521325344,0.322047244094488,0,0,0.423076923076923,0,0.0981781376518219,0,0,0,0,0,0
"B01265",0.0310362966859548,0,0.0261682242990654,0,0,1,0.0325886107844784,0,0,0,0,0,0,0,0.0257309941520468,0,0.0381889763779528,0,0.0728476821192053,0,0.00376196990424077,0.0222672064777328,0,0,0,0,0,0
"B01266",0,0,0.068411214953271,0,0,0,0.0125986897362674,0,0,0,0,0,0,0,0,0,0.0255905511811024,0,0.0728476821192053,0,0.00752393980848153,0.0222672064777328,0,0,0,0,0,0
"B01275",0.0197264597580221,0.511627906976744,0.579439252336449,0,0,0,0.150008399126491,0,0,0,0.00260231842914597,0,0.0185497470489039,0,0.0257309941520468,0,0.245669291338583,0,0,0.615384615384615,0.0109439124487004,0.162955465587045,0.0236559139784946,0,0,1,0.0497737556561086,0
"B01276",0.0423461336138874,0,0.511028037383178,0,0,0,0.0307408029564925,0,0,0,0,0,0.0185497470489039,0,0.0257309941520468,0,0.0889763779527559,0,0,0.211538461538462,0.0294117647058824,0,0.0236559139784946,0.478260869565217,0,0.111944604731679,0,0
"B01381",0.0170962651236191,0,0.193084112149533,0,0,0,0.0109188644380984,0,0,0,0,0,0,0,0,0,0.0125984251968504,0,0.211920529801325,0,0.0109439124487004,0,0,0,0,0.496826312752452,0,0
"B01382",0.218043135192004,1,1,0,0,0,0.0325886107844784,0,0,0,0,0,0.145025295109612,0,0,0,1,1,0,0,0.0663474692202462,0.0435222672064777,0,0,0,0.459896133871898,0,0
"B01383",0.0849552866912151,0,0.146915887850467,0,0,0,0.0162943053922392,0,0,0,0,0,0.0185497470489039,0,0,0,0.021259842519685,0,0,0,0.0109439124487004,0,0,0,0.211538461538462,0.416041546451241,0,0
"B01384",0.0284061020515518,0,0.293831775700935,0,0,0,0.0181421132202251,0,0,0,0,0,0.0370994940978078,0,0,0,0.0255905511811024,0.255813953488372,0.0728476821192053,0.211538461538462,0.0331737346101231,0,0,0,0,0.00634737449509521,0,0
